Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP00063,Female,No,3+,Not Graduate,No,11413,2366,83.0,360,1.0,Urban,Y
LP00064,Female,No,0,Graduate,Yes,12305,3245,71.0,360,1.0,Urban,Y
LP00065,Female,Yes,3+,Not Graduate,No,10167,809,159.0,120,0.0,Semiurban,Y
LP00066,Male,Yes,1,Not Graduate,Yes,4682,1716,40.0,240,1.0,Urban,Y
LP00067,Female,No,0,Graduate,,6368,53,213.0,180,1.0,Rural,Y
LP00068,Male,No,0,Graduate,Yes,5899,1983,204.0,120,1.0,Semiurban,Y
LP00069,Female,,3+,Not Graduate,No,9907,1814,95.0,180,0.0,Semiurban,Y
LP00070,Female,No,0,Graduate,Yes,7497,959,143.0,120,1.0,Rural,Y
LP00071,Male,Yes,3+,Not Graduate,No,7283,2726,211.0,120,0.0,Urban,N
LP00072,Female,No,2,Not Graduate,Yes,12332,0,133.0,360,0.0,Urban,Y
LP00073,Male,No,0,Not Graduate,No,7702,928,130.0,240,1.0,Semiurban,Y
LP00074,Female,No,0,Graduate,No,5526,2989,156.0,480,0.0,Rural,N
LP00075,Female,,3+,Graduate,Yes,9248,2230,176.0,120,1.0,Rural,Y
LP00076,Female,Yes,1,Graduate,No,4927,1015,173.0,180,1.0,Urban,Y
LP00077,Female,No,3+,Graduate,No,6947,1964,197.0,240,1.0,Rural,Y
LP00078,Male,No,3+,Not Graduate,No,8367,1516,130.0,480,1.0,Urban,Y
LP00079,Male,No,3+,Not Graduate,No,9063,2938,198.0,480,1.0,Rural,Y
LP00080,Female,Yes,3+,Graduate,No,8704,1365,154.0,240,0.0,Rural,Y
LP00081,Female,Yes,1,Not Graduate,Yes,7242,2633,103.0,360,1.0,Semiurban,Y
LP00082,Male,Yes,3+,Not Graduate,No,4484,100,192.0,120,1.0,Rural,Y
LP00083,Female,No,0,Graduate,Yes,8560,2679,139.0,240,0.0,Rural,Y
LP00084,Male,Yes,3+,Graduate,No,7189,851,183.0,180,1.0,Urban,Y
LP00085,Male,,3+,Graduate,,4936,1350,158.0,240,1.0,Urban,Y
LP00086,Male,Yes,3+,Not Graduate,No,4944,2141,151.0,480,1.0,Semiurban,Y
LP00087,Male,No,2,Not Graduate,No,5822,2124,74.0,360,0.0,Rural,N
LP00088,Male,Yes,3+,Not Graduate,No,5203,1501,153.0,180,0.0,Rural,Y
LP00089,Female,No,1,Not Graduate,Yes,9144,1576,139.0,360,1.0,Rural,Y
LP00090,Female,No,0,Not Graduate,Yes,6953,1395,154.0,180,1.0,Urban,Y
LP00091,Female,No,1,Not Graduate,No,8298,3945,,360,,Semiurban,Y
LP00092,Male,,3+,Not Graduate,Yes,8725,1238,150.0,120,1.0,Semiurban,Y
LP00093,Female,No,0,Graduate,No,65164,717,141.0,240,1.0,Urban,Y
LP00094,Male,No,2,Not Graduate,Yes,10627,3142,236.0,240,0.0,Urban,Y
LP00095,Male,No,3+,Not Graduate,No,9180,2056,238.0,360,,Rural,Y
LP00096,Female,No,0,Not Graduate,Yes,4900,960,44.0,360,1.0,Semiurban,Y
LP00097,Female,Yes,3+,Not Graduate,Yes,5102,2010,155.0,240,1.0,Urban,Y
LP00098,Male,No,1,Graduate,Yes,9376,992,99.0,120,1.0,Urban,Y
LP00099,Female,Yes,0,Not Graduate,Yes,3699,4364,193.0,480,1.0,Urban,Y
LP00100,Male,Yes,2,Graduate,No,2717,3695,134.0,120,1.0,Urban,Y
LP00101,Female,No,2,Graduate,No,3013,960,140.0,360,1.0,Rural,Y
LP00102,Male,No,3+,Not Graduate,Yes,5874,2671,91.0,480,,Semiurban,Y
LP00103,Male,Yes,2,Not Graduate,No,7300,2520,172.0,120,1.0,Rural,Y
LP00104,Male,No,3+,Graduate,No,3164,3588,154.0,480,1.0,Semiurban,Y
LP00105,,No,1,Not Graduate,Yes,10877,1961,193.0,120,1.0,Urban,Y
LP00106,Male,Yes,2,Graduate,No,12151,4257,128.0,120,1.0,Semiurban,Y
LP00107,Female,No,2,Graduate,Yes,8613,3716,96.0,360,0.0,Urban,Y
LP00108,Male,No,1,Not Graduate,Yes,9646,0,,120,1.0,Rural,Y
LP00109,Female,No,2,Graduate,Yes,6326,2804,207.0,240,1.0,Urban,Y
LP00110,Male,Yes,3+,Not Graduate,No,11071,0,63.0,180,1.0,Semiurban,Y
LP00111,Male,Yes,1,Graduate,Yes,7960,1754,46.0,240,1.0,Semiurban,Y
LP00112,Male,Yes,2,Not Graduate,Yes,3738,2737,156.0,480,1.0,Semiurban,Y
LP00113,Male,No,0,Graduate,Yes,5715,317,137.0,480,1.0,Semiurban,Y
LP00114,Male,No,3+,Graduate,Yes,4535,2505,116.0,240,1.0,Semiurban,Y
LP00115,Male,No,0,Not Graduate,Yes,6732,350,115.0,480,0.0,Semiurban,N
LP00116,Female,No,0,Not Graduate,Yes,11911,1849,108.0,480,1.0,Semiurban,Y
LP00117,Male,No,0,Graduate,No,6719,1490,167.0,360,0.0,Rural,Y
LP00118,Female,Yes,0,Graduate,Yes,5673,993,127.0,240,1.0,Semiurban,Y
LP00119,Female,Yes,1,Graduate,Yes,3212,3713,214.0,180,1.0,Urban,Y
LP00120,Female,No,1,Not Graduate,Yes,8441,2235,,360,1.0,Semiurban,Y
LP00121,Male,No,3+,Not Graduate,Yes,6680,462,,240,1.0,Urban,Y
LP00122,Female,Yes,3+,Graduate,No,5109,0,110.0,120,1.0,Rural,Y
LP00123,Male,Yes,0,Graduate,No,11217,3034,139.0,120,1.0,Semiurban,Y
LP00124,Female,No,2,Graduate,No,7193,594,208.0,240,1.0,Urban,Y
LP00125,Female,Yes,1,Not Graduate,No,4406,1533,100.0,360,1.0,Rural,Y
LP00126,Female,No,2,Graduate,Yes,9315,4473,77.0,480,1.0,Rural,Y
LP00127,Male,No,3+,Graduate,Yes,5373,1118,113.0,120,1.0,Urban,Y
LP00128,Female,Yes,3+,Graduate,Yes,7121,636,152.0,120,1.0,Urban,Y
LP00129,Female,No,1,Not Graduate,No,6402,529,114.0,180,1.0,Rural,Y
LP00130,Male,,3+,Not Graduate,No,8252,431,144.0,180,1.0,Semiurban,Y
LP00131,Female,Yes,3+,Not Graduate,Yes,2826,2560,110.0,180,0.0,Rural,N
LP00132,Female,No,1,Not Graduate,Yes,5091,0,66.0,240,1.0,Urban,Y
LP00133,Female,Yes,3+,Graduate,No,7649,533,168.0,120,,Urban,Y
LP00134,Male,No,3+,Graduate,No,36493,104,110.0,240,0.0,Semiurban,Y
LP00135,Female,Yes,2,Graduate,No,4848,1261,185.0,120,1.0,Urban,Y
LP00136,Female,,1,Graduate,,9089,218,163.0,480,1.0,Semiurban,Y
LP00137,Female,Yes,0,Not Graduate,No,53122,684,165.0,360,1.0,Urban,Y
LP00138,Male,No,1,Graduate,No,7927,954,143.0,240,1.0,Urban,Y
LP00139,Female,Yes,1,Graduate,,9919,2156,155.0,180,0.0,Urban,Y
LP00140,Female,No,3+,Not Graduate,Yes,5780,1194,157.0,180,0.0,Rural,N
LP00141,Female,Yes,2,Not Graduate,No,7724,4705,179.0,120,0.0,Rural,Y
LP00142,,No,2,Graduate,No,10003,1228,48.0,240,0.0,Urban,Y
LP00143,Male,Yes,2,Not Graduate,No,2323,1307,140.0,180,1.0,Semiurban,Y
LP00144,Female,No,2,Graduate,Yes,7817,1493,177.0,360,1.0,Rural,Y
LP00145,Female,Yes,1,Graduate,Yes,7589,2879,,180,0.0,Rural,Y
LP00146,Female,No,2,Not Graduate,Yes,7846,1218,168.0,480,1.0,Rural,Y
LP00147,Male,Yes,1,Not Graduate,No,7454,2147,119.0,240,1.0,Rural,Y
LP00148,Female,Yes,0,Graduate,Yes,9075,601,143.0,360,1.0,Semiurban,Y
LP00149,Female,Yes,2,Not Graduate,Yes,8197,2267,186.0,120,0.0,Rural,N
LP00150,Male,Yes,1,Graduate,No,6325,429,120.0,180,0.0,Urban,Y
LP00151,Male,Yes,2,Not Graduate,No,8892,508,179.0,360,0.0,Rural,Y
LP00152,Male,No,3+,Not Graduate,Yes,8033,4427,105.0,480,1.0,Rural,Y
LP00153,Male,Yes,2,Graduate,Yes,2553,3894,169.0,180,,Semiurban,Y
LP00154,Female,,2,Graduate,No,7699,224,250.0,480,0.0,Rural,N
LP00155,Male,No,0,Graduate,Yes,7273,2816,161.0,180,1.0,Urban,Y
LP00156,Male,No,2,Not Graduate,No,5023,2460,224.0,240,1.0,Urban,Y
LP00157,Male,No,3+,Not Graduate,No,10982,1084,95.0,240,1.0,Urban,Y
LP00158,Female,Yes,2,Graduate,No,7139,3331,63.0,240,1.0,Urban,Y
LP00159,Female,No,3+,Graduate,Yes,6604,1202,94.0,180,1.0,Semiurban,Y
LP00160,Female,No,2,Not Graduate,Yes,9057,1902,81.0,180,1.0,Urban,Y
LP00161,Male,,2,Not Graduate,No,6160,4136,128.0,180,1.0,Semiurban,Y
LP00162,Female,No,2,Graduate,No,6385,1418,,360,1.0,Urban,Y
LP00163,Female,No,0,Graduate,Yes,6422,2774,223.0,480,1.0,Semiurban,Y
LP00164,Male,No,0,Graduate,Yes,6327,250,255.0,480,,Urban,N
LP00165,Female,,1,Not Graduate,No,7034,1766,,480,1.0,Rural,Y
LP00166,Female,Yes,2,Not Graduate,Yes,5565,1034,138.0,480,1.0,Semiurban,Y
LP00167,Male,Yes,3+,Graduate,No,5217,1949,128.0,120,1.0,Urban,Y
LP00168,Male,Yes,3+,Not Graduate,No,1500,3328,196.0,480,0.0,Urban,N
LP00169,Male,Yes,1,Not Graduate,No,6143,1279,76.0,480,1.0,Rural,Y
LP00170,Female,No,3+,Graduate,Yes,4223,4253,182.0,360,0.0,Semiurban,Y
LP00171,Female,No,3+,Not Graduate,No,8804,219,116.0,240,1.0,Semiurban,Y
LP00172,Female,Yes,2,Graduate,No,3944,2798,129.0,360,0.0,Rural,N
LP00173,Male,No,2,Graduate,Yes,8777,2421,123.0,240,1.0,Rural,Y
LP00174,Male,Yes,0,Not Graduate,No,4297,2662,166.0,120,1.0,Rural,Y
LP00175,Female,No,3+,Graduate,No,7815,48,181.0,180,1.0,Semiurban,Y
LP00176,Male,Yes,3+,Graduate,Yes,5693,3268,108.0,120,1.0,Semiurban,Y
LP00177,Female,Yes,2,Not Graduate,No,3108,2648,82.0,240,0.0,Rural,Y
LP00178,Female,Yes,0,Not Graduate,Yes,1795,4175,,180,0.0,Rural,N
LP00179,Female,Yes,1,Not Graduate,No,5637,2358,138.0,180,1.0,Rural,Y
LP00180,Female,No,1,Graduate,No,7285,2010,123.0,120,1.0,Semiurban,Y
LP00181,Female,No,1,Graduate,Yes,7769,0,79.0,240,1.0,Semiurban,Y
LP00182,Male,No,2,Graduate,Yes,7427,1542,140.0,480,0.0,Urban,Y
LP00183,Male,Yes,0,Not Graduate,No,5650,710,148.0,480,1.0,Urban,Y
LP00184,Male,Yes,2,Not Graduate,Yes,8020,0,186.0,480,0.0,Rural,Y
LP00185,Male,No,1,Not Graduate,No,7640,3175,214.0,120,0.0,Rural,Y
LP00186,Female,Yes,1,Graduate,Yes,2397,8,111.0,240,,Semiurban,Y
LP00187,Female,Yes,2,Not Graduate,Yes,8294,783,148.0,120,0.0,Urban,N
LP00188,Female,No,3+,Graduate,Yes,5471,0,98.0,360,1.0,Rural,Y
LP00189,Male,Yes,0,Not Graduate,No,4560,3275,97.0,480,1.0,Rural,Y
LP00190,Female,No,1,Not Graduate,Yes,8233,2058,101.0,360,0.0,Rural,Y
LP00191,Male,Yes,0,Graduate,Yes,5560,1970,255.0,360,1.0,Semiurban,Y
LP00192,Female,No,1,Graduate,Yes,9873,815,138.0,120,1.0,Urban,Y
LP00193,Male,No,1,Graduate,No,5432,4337,171.0,480,1.0,Semiurban,Y
LP00194,Female,,0,Not Graduate,No,8581,3161,167.0,480,,Rural,Y
LP00195,Female,Yes,1,Not Graduate,Yes,5182,1453,136.0,180,1.0,Semiurban,Y
LP00196,Female,Yes,2,Graduate,No,7444,0,157.0,360,1.0,Rural,Y
LP00197,Male,No,3+,Graduate,Yes,8399,3313,177.0,240,1.0,Urban,Y
LP00198,Female,No,0,Graduate,Yes,6824,0,,480,1.0,Rural,Y
LP00199,Female,,2,Not Graduate,No,7678,12,91.0,360,0.0,Semiurban,Y
LP00200,Female,Yes,3+,Not Graduate,Yes,6901,2754,141.0,240,1.0,Semiurban,Y
LP00201,Female,No,2,Graduate,Yes,9345,1077,144.0,180,,Semiurban,Y
LP00202,Female,No,3+,Not Graduate,Yes,5913,1367,,180,,Rural,Y
LP00203,Male,Yes,0,Graduate,,10139,547,131.0,480,1.0,Urban,Y
LP00204,Female,Yes,3+,Not Graduate,Yes,10617,2075,186.0,180,1.0,Urban,Y
LP00205,Female,Yes,3+,Graduate,Yes,7667,3045,,120,1.0,Urban,Y
LP00206,Female,No,0,Not Graduate,No,5706,3773,243.0,480,1.0,Semiurban,Y
LP00207,Male,Yes,3+,Not Graduate,No,5886,3834,211.0,180,1.0,Rural,Y
LP00208,Female,Yes,0,Graduate,Yes,5949,1405,79.0,180,1.0,Rural,Y
LP00209,Male,Yes,2,Graduate,Yes,4489,725,138.0,120,0.0,Rural,N
LP00210,Male,Yes,3+,Not Graduate,No,10876,402,184.0,360,0.0,Rural,Y
LP00211,Male,Yes,3+,Graduate,Yes,6876,2744,89.0,120,1.0,Semiurban,Y
LP00212,Male,No,3+,Not Graduate,Yes,7416,2489,,480,1.0,Semiurban,Y
LP00213,Male,No,1,Graduate,Yes,5405,1056,,180,1.0,Semiurban,Y
LP00214,Female,Yes,0,Graduate,No,5406,3464,203.0,180,1.0,Semiurban,Y
LP00215,Female,No,0,Graduate,Yes,4919,2459,,180,1.0,Semiurban,Y
LP00216,,No,3+,Graduate,Yes,7507,0,209.0,240,0.0,Rural,Y
LP00217,Female,No,1,Graduate,Yes,5468,1257,152.0,180,1.0,Semiurban,Y
LP00218,,Yes,3+,Graduate,Yes,8646,4614,132.0,120,1.0,Semiurban,Y
LP00219,Female,No,3+,Graduate,No,55932,776,138.0,480,1.0,Semiurban,Y
LP00220,Female,No,3+,Graduate,No,5705,2113,139.0,360,1.0,Semiurban,Y
LP00221,Male,Yes,3+,Graduate,No,13317,1056,117.0,240,1.0,Semiurban,Y
LP00222,Female,Yes,2,Graduate,No,8704,4385,166.0,360,1.0,Semiurban,Y
LP00223,Male,No,0,Graduate,Yes,8476,3352,176.0,360,1.0,Rural,Y
LP00224,Female,No,0,Graduate,Yes,9666,3437,202.0,480,1.0,Semiurban,Y
LP00225,Female,No,3+,Not Graduate,Yes,6582,2005,194.0,480,1.0,Semiurban,Y
LP00226,Male,Yes,2,Not Graduate,No,7921,1249,141.0,240,1.0,Semiurban,Y
LP00227,Female,No,0,Not Graduate,Yes,7477,1865,78.0,240,1.0,Rural,Y
LP00228,Male,Yes,1,Not Graduate,No,8613,4828,126.0,120,1.0,Semiurban,Y
LP00229,,Yes,1,Not Graduate,No,7623,4008,135.0,180,1.0,Semiurban,Y
LP00230,Female,No,1,Not Graduate,,44076,2061,119.0,120,1.0,Semiurban,Y
LP00231,Male,No,2,Not Graduate,Yes,9684,362,145.0,240,1.0,Rural,Y
LP00232,Female,Yes,1,Not Graduate,Yes,9987,0,114.0,480,1.0,Urban,Y
LP00233,Female,No,1,Not Graduate,Yes,10913,1707,115.0,360,1.0,Rural,Y
LP00234,Male,No,0,Not Graduate,Yes,3379,0,159.0,180,1.0,Urban,Y
LP00235,Female,No,3+,Not Graduate,Yes,4446,2791,150.0,480,1.0,Urban,Y
LP00236,Male,No,1,Not Graduate,No,3799,3021,169.0,180,1.0,Rural,Y
LP00237,Male,No,1,Not Graduate,Yes,11616,301,71.0,240,1.0,Rural,Y
LP00238,Female,No,2,Graduate,No,6886,2140,129.0,240,0.0,Urban,Y
LP00239,Male,Yes,1,Graduate,Yes,3871,3821,136.0,480,1.0,Rural,Y
LP00240,Female,No,0,Graduate,No,7856,2439,,480,1.0,Urban,Y
LP00241,Male,,2,Graduate,No,8606,3660,148.0,180,1.0,Semiurban,Y
LP00242,Male,,2,Not Graduate,No,6775,3816,109.0,360,1.0,Semiurban,Y
LP00243,Female,Yes,3+,Graduate,No,6899,39009,145.0,120,,Urban,Y
LP00244,Female,No,0,Graduate,Yes,9101,886,119.0,240,1.0,Rural,Y
LP00245,Female,No,0,Not Graduate,Yes,5869,0,68.0,120,0.0,Rural,Y
LP00246,Male,No,2,Graduate,No,8964,2395,96.0,240,1.0,Rural,Y
LP00247,Female,Yes,0,Graduate,Yes,6990,178,207.0,360,1.0,Semiurban,Y
LP00248,Male,No,0,Not Graduate,Yes,6447,1837,149.0,480,1.0,Semiurban,Y
LP00249,Female,Yes,3+,Graduate,Yes,6382,845,94.0,120,1.0,Urban,Y
LP00250,Male,No,3+,Graduate,Yes,11494,36299,114.0,180,1.0,Urban,Y
LP00251,Female,Yes,1,Not Graduate,Yes,10498,3094,142.0,360,1.0,Urban,Y
LP00252,Female,Yes,1,Not Graduate,,8745,2350,180.0,480,1.0,Rural,Y
LP00253,Male,No,0,Graduate,No,9623,1050,199.0,180,1.0,Semiurban,Y
LP00254,Female,Yes,0,Graduate,Yes,12188,835,218.0,480,1.0,Semiurban,Y
LP00255,,No,0,Graduate,No,5371,1122,125.0,360,1.0,Urban,Y
LP00256,Female,No,0,Not Graduate,No,8307,996,138.0,180,0.0,Rural,Y
LP00257,Male,No,0,Not Graduate,Yes,11318,2410,,180,1.0,Urban,Y
LP00258,Female,Yes,2,Graduate,No,38992,368,128.0,180,1.0,Rural,Y
LP00259,Female,,2,Graduate,No,7998,2706,118.0,120,1.0,Semiurban,Y
LP00260,Female,,0,Graduate,Yes,3935,0,150.0,480,1.0,Urban,Y
LP00261,Male,Yes,3+,Graduate,No,11209,16506,188.0,360,1.0,Urban,Y
LP00262,Male,Yes,1,Graduate,Yes,6568,3037,169.0,240,0.0,Semiurban,N
LP00263,,Yes,3+,Graduate,No,10691,3732,111.0,240,1.0,Urban,Y
LP00264,Female,Yes,1,Graduate,Yes,8235,2164,,480,1.0,Semiurban,Y
LP00265,Female,No,0,Graduate,Yes,65490,3441,164.0,120,0.0,Semiurban,Y
LP00266,Male,Yes,3+,Not Graduate,No,8929,0,191.0,180,1.0,Rural,Y
LP00267,Male,Yes,3+,Graduate,Yes,6093,232,81.0,180,1.0,Semiurban,Y
LP00268,,No,2,Graduate,,5830,2285,137.0,360,1.0,Urban,Y
LP00269,Female,No,2,Not Graduate,Yes,7192,3,184.0,120,1.0,Rural,Y
LP00270,Male,Yes,1,Not Graduate,Yes,3108,1200,207.0,360,1.0,Urban,Y
LP00271,Female,Yes,2,Not Graduate,Yes,6128,1311,125.0,120,1.0,Urban,Y
LP00272,,No,0,Graduate,Yes,7954,2402,186.0,480,1.0,Urban,Y
LP00273,Female,Yes,2,Graduate,Yes,6352,1525,136.0,180,1.0,Urban,Y
LP00274,Male,,3+,Graduate,Yes,8819,1872,172.0,180,1.0,Rural,Y
LP00275,Male,No,1,Graduate,No,7196,0,181.0,360,1.0,Semiurban,Y
LP00276,Female,No,3+,Not Graduate,Yes,9495,0,233.0,480,1.0,Urban,Y
LP00277,Male,No,2,Not Graduate,No,9770,344,167.0,180,1.0,Semiurban,Y
LP00278,Female,Yes,0,Not Graduate,Yes,5440,4479,131.0,360,1.0,Semiurban,Y
LP00279,,Yes,2,Graduate,Yes,9175,2493,146.0,180,0.0,Rural,Y
LP00280,Male,Yes,2,Not Graduate,Yes,13008,1719,149.0,240,0.0,Rural,Y
LP00281,Female,No,1,Not Graduate,Yes,9763,3461,168.0,480,1.0,Urban,Y
LP00282,Female,Yes,1,Not Graduate,,11083,195,153.0,120,1.0,Semiurban,Y
LP00283,Male,No,3+,Graduate,No,6839,2260,154.0,180,,Semiurban,Y
LP00284,Female,Yes,2,Graduate,Yes,11034,2434,,360,0.0,Semiurban,Y
LP00285,Female,Yes,1,Not Graduate,Yes,9973,81,166.0,180,1.0,Rural,Y
LP00286,Male,No,2,Graduate,,6256,3725,133.0,180,1.0,Rural,Y
LP00287,Male,Yes,0,Not Graduate,,6567,1821,90.0,240,1.0,Urban,Y
LP00288,,No,3+,Not Graduate,No,10986,614,95.0,360,,Urban,Y
LP00289,Male,No,0,Graduate,No,5402,0,213.0,480,1.0,Urban,Y
LP00290,Male,Yes,0,Not Graduate,No,5279,4953,,120,1.0,Rural,Y
LP00291,Male,Yes,0,Not Graduate,Yes,1500,5007,77.0,180,1.0,Urban,Y
LP00292,Female,Yes,0,Graduate,No,9556,5215,202.0,480,1.0,Rural,Y
LP00293,Male,No,3+,Graduate,Yes,8486,2994,174.0,120,1.0,Urban,Y
LP00294,Female,No,3+,Not Graduate,No,7260,1712,106.0,120,1.0,Urban,Y
LP00295,Male,No,0,Not Graduate,No,2767,1662,95.0,240,0.0,Semiurban,N
LP00296,Male,No,3+,Graduate,Yes,7449,3748,181.0,480,1.0,Semiurban,Y
LP00297,Male,No,2,Graduate,No,4525,3117,95.0,480,1.0,Rural,Y
LP00298,Male,No,1,Graduate,Yes,8375,444,144.0,480,0.0,Urban,N
LP00299,Female,No,0,Graduate,No,5496,2247,68.0,360,1.0,Rural,Y
LP00300,Female,Yes,3+,Graduate,Yes,6950,2573,150.0,240,1.0,Rural,Y
LP00301,Female,No,3+,Not Graduate,No,7313,1198,145.0,120,0.0,Rural,Y
LP00302,Male,No,0,Not Graduate,No,7122,1856,108.0,120,1.0,Rural,Y
LP00303,Female,No,2,Not Graduate,No,3493,4249,84.0,240,0.0,Rural,N
LP00304,Female,No,3+,Graduate,Yes,5203,3052,126.0,180,1.0,Semiurban,Y
LP00305,Male,Yes,0,Not Graduate,No,5316,2190,102.0,360,1.0,Urban,Y
LP00306,Male,Yes,1,Graduate,No,4031,2233,168.0,480,1.0,Urban,Y
LP00307,Female,Yes,0,Graduate,No,6536,1618,141.0,240,1.0,Semiurban,Y
